user_id,q_text,a_text,q_sentiment,a_sentiment
0,短线 交易 高频,AI 半导体 成长 风险承受高,1,1
1,新能源 基金 长期 定投,短线 交易 高频,0,-1
2,短线 交易 高频,AI 半导体 成长 风险承受高,1,1
3,医药 消费 产业轮动,海外 ETF 汇率 风险,0,-1
4,AI 半导体 成长 风险承受高,长期 持有 价值,0,0
5,新能源 基金 长期 定投,新能源 基金 长期 定投,0,-1
6,长期 持有 价值,新能源 基金 长期 定投,1,0
7,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,0,0
8,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,0,1
9,黄金 商品 抗通胀,海外 ETF 汇率 风险,-1,0
10,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,0,0
11,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,0
12,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,1,1
13,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,0
14,新能源 基金 长期 定投,新能源 基金 长期 定投,1,0
15,债券 固收 低波动,长期 持有 价值,0,0
16,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,1
17,短线 交易 高频,长期 持有 价值,1,0
18,长期 持有 价值,医药 消费 产业轮动,1,1
19,医药 消费 产业轮动,短线 交易 高频,1,1
20,黄金 商品 抗通胀,新能源 基金 长期 定投,0,-1
21,黄金 商品 抗通胀,海外 ETF 汇率 风险,-1,1
22,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,0,0
23,短线 交易 高频,AI 半导体 成长 风险承受高,0,-1
24,长期 持有 价值,新能源 基金 长期 定投,0,0
25,短线 交易 高频,医药 消费 产业轮动,0,0
26,AI 半导体 成长 风险承受高,长期 持有 价值,0,0
27,黄金 商品 抗通胀,医药 消费 产业轮动,0,0
28,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,0
29,医药 消费 产业轮动,长期 持有 价值,1,-1
30,黄金 商品 抗通胀,债券 固收 低波动,-1,-1
31,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,0
32,海外 ETF 汇率 风险,长期 持有 价值,1,0
33,新能源 基金 长期 定投,黄金 商品 抗通胀,-1,-1
34,短线 交易 高频,AI 半导体 成长 风险承受高,0,-1
35,债券 固收 低波动,短线 交易 高频,1,0
36,长期 持有 价值,医药 消费 产业轮动,0,0
37,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,-1,0
38,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,-1,0
39,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,-1,-1
40,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,0,-1
41,AI 半导体 成长 风险承受高,债券 固收 低波动,0,0
42,新能源 基金 长期 定投,长期 持有 价值,1,-1
43,黄金 商品 抗通胀,医药 消费 产业轮动,0,0
44,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,0,0
45,黄金 商品 抗通胀,新能源 基金 长期 定投,0,0
46,黄金 商品 抗通胀,黄金 商品 抗通胀,1,0
47,债券 固收 低波动,海外 ETF 汇率 风险,1,-1
48,医药 消费 产业轮动,海外 ETF 汇率 风险,0,0
49,AI 半导体 成长 风险承受高,短线 交易 高频,1,0
50,短线 交易 高频,AI 半导体 成长 风险承受高,1,-1
51,债券 固收 低波动,债券 固收 低波动,-1,0
52,AI 半导体 成长 风险承受高,债券 固收 低波动,0,0
53,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,-1,0
54,长期 持有 价值,长期 持有 价值,0,0
55,短线 交易 高频,债券 固收 低波动,0,1
56,海外 ETF 汇率 风险,黄金 商品 抗通胀,-1,0
57,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,1,1
58,短线 交易 高频,海外 ETF 汇率 风险,1,0
59,新能源 基金 长期 定投,医药 消费 产业轮动,0,0
60,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
61,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,-1,0
62,短线 交易 高频,价值 投资 蓝筹 稳健 分红,-1,-1
63,黄金 商品 抗通胀,黄金 商品 抗通胀,0,0
64,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,1,0
65,新能源 基金 长期 定投,医药 消费 产业轮动,0,0
66,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,0,0
67,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
68,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,0,0
69,短线 交易 高频,价值 投资 蓝筹 稳健 分红,1,1
70,债券 固收 低波动,短线 交易 高频,-1,0
71,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,0,-1
72,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,1,1
73,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,1,0
74,海外 ETF 汇率 风险,医药 消费 产业轮动,0,1
75,海外 ETF 汇率 风险,医药 消费 产业轮动,0,1
76,短线 交易 高频,短线 交易 高频,0,1
77,医药 消费 产业轮动,AI 半导体 成长 风险承受高,0,1
78,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,1,1
79,海外 ETF 汇率 风险,医药 消费 产业轮动,-1,1
80,新能源 基金 长期 定投,海外 ETF 汇率 风险,0,1
81,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,-1,0
82,债券 固收 低波动,长期 持有 价值,0,-1
83,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,0,0
84,黄金 商品 抗通胀,债券 固收 低波动,0,0
85,债券 固收 低波动,新能源 基金 长期 定投,0,0
86,新能源 基金 长期 定投,新能源 基金 长期 定投,0,0
87,新能源 基金 长期 定投,价值 投资 蓝筹 稳健 分红,-1,0
88,短线 交易 高频,新能源 基金 长期 定投,0,1
89,海外 ETF 汇率 风险,债券 固收 低波动,1,1
90,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,1
91,黄金 商品 抗通胀,海外 ETF 汇率 风险,1,1
92,黄金 商品 抗通胀,黄金 商品 抗通胀,1,-1
93,债券 固收 低波动,黄金 商品 抗通胀,-1,-1
94,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,1,1
95,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,1,0
96,黄金 商品 抗通胀,黄金 商品 抗通胀,1,0
97,黄金 商品 抗通胀,债券 固收 低波动,-1,0
98,债券 固收 低波动,短线 交易 高频,0,1
99,长期 持有 价值,长期 持有 价值,0,0
100,长期 持有 价值,债券 固收 低波动,0,0
101,黄金 商品 抗通胀,新能源 基金 长期 定投,-1,0
102,医药 消费 产业轮动,长期 持有 价值,-1,0
103,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,0
104,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,0,0
105,长期 持有 价值,债券 固收 低波动,0,0
106,AI 半导体 成长 风险承受高,短线 交易 高频,0,-1
107,医药 消费 产业轮动,医药 消费 产业轮动,-1,-1
108,海外 ETF 汇率 风险,长期 持有 价值,-1,1
109,海外 ETF 汇率 风险,长期 持有 价值,-1,1
110,债券 固收 低波动,短线 交易 高频,0,0
111,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,0,1
112,医药 消费 产业轮动,医药 消费 产业轮动,1,0
113,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,-1,1
114,短线 交易 高频,新能源 基金 长期 定投,0,-1
115,医药 消费 产业轮动,债券 固收 低波动,1,1
116,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,1
117,长期 持有 价值,医药 消费 产业轮动,1,0
118,黄金 商品 抗通胀,长期 持有 价值,0,0
119,长期 持有 价值,AI 半导体 成长 风险承受高,0,1
120,短线 交易 高频,债券 固收 低波动,-1,1
121,黄金 商品 抗通胀,医药 消费 产业轮动,1,1
122,债券 固收 低波动,新能源 基金 长期 定投,1,1
123,海外 ETF 汇率 风险,债券 固收 低波动,1,0
124,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,1,1
125,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,0
126,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,1
127,债券 固收 低波动,海外 ETF 汇率 风险,0,0
128,长期 持有 价值,AI 半导体 成长 风险承受高,0,-1
129,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,0,1
130,短线 交易 高频,医药 消费 产业轮动,-1,1
131,医药 消费 产业轮动,海外 ETF 汇率 风险,0,1
132,短线 交易 高频,黄金 商品 抗通胀,1,0
133,长期 持有 价值,黄金 商品 抗通胀,0,1
134,短线 交易 高频,AI 半导体 成长 风险承受高,1,0
135,海外 ETF 汇率 风险,长期 持有 价值,0,0
136,长期 持有 价值,新能源 基金 长期 定投,-1,0
137,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,0,0
138,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,0
139,AI 半导体 成长 风险承受高,短线 交易 高频,0,0
140,黄金 商品 抗通胀,短线 交易 高频,-1,0
141,新能源 基金 长期 定投,黄金 商品 抗通胀,0,-1
142,长期 持有 价值,AI 半导体 成长 风险承受高,-1,1
143,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,1,0
144,短线 交易 高频,海外 ETF 汇率 风险,1,-1
145,医药 消费 产业轮动,AI 半导体 成长 风险承受高,0,0
146,短线 交易 高频,海外 ETF 汇率 风险,0,0
147,债券 固收 低波动,新能源 基金 长期 定投,-1,1
148,医药 消费 产业轮动,海外 ETF 汇率 风险,0,1
149,海外 ETF 汇率 风险,长期 持有 价值,0,-1
150,短线 交易 高频,价值 投资 蓝筹 稳健 分红,1,0
151,海外 ETF 汇率 风险,长期 持有 价值,0,0
152,短线 交易 高频,AI 半导体 成长 风险承受高,0,0
153,医药 消费 产业轮动,债券 固收 低波动,0,1
154,黄金 商品 抗通胀,黄金 商品 抗通胀,-1,0
155,新能源 基金 长期 定投,黄金 商品 抗通胀,0,0
156,黄金 商品 抗通胀,黄金 商品 抗通胀,1,1
157,AI 半导体 成长 风险承受高,债券 固收 低波动,1,0
158,新能源 基金 长期 定投,黄金 商品 抗通胀,0,0
159,医药 消费 产业轮动,债券 固收 低波动,1,0
160,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,-1,0
161,债券 固收 低波动,海外 ETF 汇率 风险,-1,-1
162,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,-1,0
163,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,-1,1
164,长期 持有 价值,医药 消费 产业轮动,0,1
165,短线 交易 高频,债券 固收 低波动,0,-1
166,短线 交易 高频,海外 ETF 汇率 风险,0,0
167,AI 半导体 成长 风险承受高,债券 固收 低波动,0,0
168,新能源 基金 长期 定投,价值 投资 蓝筹 稳健 分红,0,0
169,AI 半导体 成长 风险承受高,长期 持有 价值,1,0
170,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,0
171,长期 持有 价值,新能源 基金 长期 定投,0,0
172,债券 固收 低波动,新能源 基金 长期 定投,-1,0
173,债券 固收 低波动,长期 持有 价值,1,1
174,短线 交易 高频,短线 交易 高频,-1,1
175,债券 固收 低波动,医药 消费 产业轮动,0,-1
176,黄金 商品 抗通胀,新能源 基金 长期 定投,0,0
177,长期 持有 价值,价值 投资 蓝筹 稳健 分红,1,1
178,长期 持有 价值,新能源 基金 长期 定投,0,0
179,长期 持有 价值,价值 投资 蓝筹 稳健 分红,-1,-1
180,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,0
181,医药 消费 产业轮动,新能源 基金 长期 定投,-1,1
182,短线 交易 高频,AI 半导体 成长 风险承受高,0,0
183,海外 ETF 汇率 风险,医药 消费 产业轮动,1,0
184,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,0
185,医药 消费 产业轮动,短线 交易 高频,0,-1
186,医药 消费 产业轮动,黄金 商品 抗通胀,-1,0
187,债券 固收 低波动,海外 ETF 汇率 风险,0,-1
188,AI 半导体 成长 风险承受高,短线 交易 高频,1,0
189,长期 持有 价值,长期 持有 价值,0,0
190,黄金 商品 抗通胀,医药 消费 产业轮动,0,1
191,新能源 基金 长期 定投,债券 固收 低波动,0,-1
192,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,-1
193,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,-1
194,长期 持有 价值,医药 消费 产业轮动,1,0
195,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,0,1
196,短线 交易 高频,医药 消费 产业轮动,1,0
197,黄金 商品 抗通胀,债券 固收 低波动,0,0
198,新能源 基金 长期 定投,短线 交易 高频,1,-1
199,价值 投资 蓝筹 稳健 分红,长期 持有 价值,-1,0
200,海外 ETF 汇率 风险,债券 固收 低波动,1,0
201,债券 固收 低波动,黄金 商品 抗通胀,0,0
202,新能源 基金 长期 定投,债券 固收 低波动,-1,1
203,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,-1
204,黄金 商品 抗通胀,新能源 基金 长期 定投,-1,-1
205,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,-1,0
206,AI 半导体 成长 风险承受高,长期 持有 价值,0,-1
207,医药 消费 产业轮动,新能源 基金 长期 定投,1,0
208,长期 持有 价值,长期 持有 价值,0,1
209,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,-1,1
210,价值 投资 蓝筹 稳健 分红,长期 持有 价值,-1,0
211,新能源 基金 长期 定投,海外 ETF 汇率 风险,0,1
212,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,0,-1
213,短线 交易 高频,长期 持有 价值,0,0
214,债券 固收 低波动,医药 消费 产业轮动,0,-1
215,医药 消费 产业轮动,长期 持有 价值,1,0
216,新能源 基金 长期 定投,新能源 基金 长期 定投,0,1
217,黄金 商品 抗通胀,长期 持有 价值,0,0
218,医药 消费 产业轮动,医药 消费 产业轮动,-1,0
219,黄金 商品 抗通胀,黄金 商品 抗通胀,-1,0
220,新能源 基金 长期 定投,医药 消费 产业轮动,0,-1
221,黄金 商品 抗通胀,债券 固收 低波动,0,0
222,黄金 商品 抗通胀,短线 交易 高频,-1,-1
223,债券 固收 低波动,黄金 商品 抗通胀,0,0
224,新能源 基金 长期 定投,医药 消费 产业轮动,-1,0
225,AI 半导体 成长 风险承受高,短线 交易 高频,1,0
226,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,1,0
227,医药 消费 产业轮动,医药 消费 产业轮动,-1,0
228,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
229,新能源 基金 长期 定投,新能源 基金 长期 定投,0,1
230,长期 持有 价值,债券 固收 低波动,-1,-1
231,债券 固收 低波动,新能源 基金 长期 定投,0,1
