user_id,q_text,a_text,q_sentiment,a_sentiment
0,短线 交易 高频,短线 交易 高频,1,0
1,医药 消费 产业轮动,短线 交易 高频,0,1
2,AI 半导体 成长 风险承受高,短线 交易 高频,0,0
3,价值 投资 蓝筹 稳健 分红,价值 投资 蓝筹 稳健 分红,0,0
4,新能源 基金 长期 定投,短线 交易 高频,0,1
5,黄金 商品 抗通胀,黄金 商品 抗通胀,1,0
6,价值 投资 蓝筹 稳健 分红,短线 交易 高频,0,-1
7,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,-1,0
8,长期 持有 价值,债券 固收 低波动,0,0
9,长期 持有 价值,医药 消费 产业轮动,1,-1
10,长期 持有 价值,AI 半导体 成长 风险承受高,1,1
11,长期 持有 价值,AI 半导体 成长 风险承受高,0,1
12,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,1
13,长期 持有 价值,短线 交易 高频,0,0
14,医药 消费 产业轮动,AI 半导体 成长 风险承受高,0,-1
15,长期 持有 价值,价值 投资 蓝筹 稳健 分红,-1,1
16,海外 ETF 汇率 风险,短线 交易 高频,1,1
17,黄金 商品 抗通胀,海外 ETF 汇率 风险,0,-1
18,价值 投资 蓝筹 稳健 分红,短线 交易 高频,1,-1
19,医药 消费 产业轮动,医药 消费 产业轮动,0,1
20,黄金 商品 抗通胀,新能源 基金 长期 定投,0,0
21,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,1,0
22,长期 持有 价值,长期 持有 价值,0,-1
23,长期 持有 价值,黄金 商品 抗通胀,1,0
24,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,0,-1
25,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,-1,0
26,海外 ETF 汇率 风险,长期 持有 价值,-1,0
27,海外 ETF 汇率 风险,黄金 商品 抗通胀,1,-1
28,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,0,-1
29,新能源 基金 长期 定投,短线 交易 高频,0,0
30,长期 持有 价值,新能源 基金 长期 定投,1,0
31,黄金 商品 抗通胀,短线 交易 高频,-1,1
32,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,0,0
33,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,-1,0
34,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,0,0
35,长期 持有 价值,长期 持有 价值,1,0
36,债券 固收 低波动,AI 半导体 成长 风险承受高,0,1
37,短线 交易 高频,价值 投资 蓝筹 稳健 分红,-1,0
38,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,0,0
39,新能源 基金 长期 定投,黄金 商品 抗通胀,0,1
40,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,-1,0
41,海外 ETF 汇率 风险,债券 固收 低波动,-1,-1
42,新能源 基金 长期 定投,长期 持有 价值,0,0
43,海外 ETF 汇率 风险,债券 固收 低波动,0,-1
44,新能源 基金 长期 定投,长期 持有 价值,0,1
45,黄金 商品 抗通胀,债券 固收 低波动,0,0
46,短线 交易 高频,新能源 基金 长期 定投,-1,0
47,长期 持有 价值,短线 交易 高频,0,1
48,AI 半导体 成长 风险承受高,短线 交易 高频,0,0
49,医药 消费 产业轮动,新能源 基金 长期 定投,1,1
50,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,0,1
51,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,-1
52,短线 交易 高频,短线 交易 高频,0,0
53,价值 投资 蓝筹 稳健 分红,价值 投资 蓝筹 稳健 分红,-1,0
54,短线 交易 高频,海外 ETF 汇率 风险,0,0
55,短线 交易 高频,债券 固收 低波动,0,1
56,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,1,1
57,长期 持有 价值,AI 半导体 成长 风险承受高,1,0
58,黄金 商品 抗通胀,新能源 基金 长期 定投,0,0
59,长期 持有 价值,新能源 基金 长期 定投,-1,0
60,债券 固收 低波动,债券 固收 低波动,0,0
61,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,1,-1
62,医药 消费 产业轮动,AI 半导体 成长 风险承受高,-1,-1
63,AI 半导体 成长 风险承受高,债券 固收 低波动,0,1
64,医药 消费 产业轮动,短线 交易 高频,0,0
65,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,1,0
66,海外 ETF 汇率 风险,医药 消费 产业轮动,1,0
67,医药 消费 产业轮动,AI 半导体 成长 风险承受高,0,1
68,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,1,0
69,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,-1
70,短线 交易 高频,黄金 商品 抗通胀,1,1
71,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,0,0
72,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,1,1
73,海外 ETF 汇率 风险,长期 持有 价值,-1,1
74,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,0,0
75,黄金 商品 抗通胀,长期 持有 价值,-1,0
76,新能源 基金 长期 定投,医药 消费 产业轮动,1,0
77,黄金 商品 抗通胀,新能源 基金 长期 定投,0,0
78,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,1,0
79,短线 交易 高频,债券 固收 低波动,-1,-1
80,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,1,0
81,新能源 基金 长期 定投,医药 消费 产业轮动,1,0
82,新能源 基金 长期 定投,新能源 基金 长期 定投,-1,0
83,医药 消费 产业轮动,黄金 商品 抗通胀,1,0
84,短线 交易 高频,AI 半导体 成长 风险承受高,1,0
85,价值 投资 蓝筹 稳健 分红,价值 投资 蓝筹 稳健 分红,0,1
86,新能源 基金 长期 定投,海外 ETF 汇率 风险,0,1
87,短线 交易 高频,新能源 基金 长期 定投,-1,0
88,债券 固收 低波动,黄金 商品 抗通胀,-1,1
89,债券 固收 低波动,短线 交易 高频,-1,1
90,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,0,1
91,黄金 商品 抗通胀,短线 交易 高频,0,1
92,海外 ETF 汇率 风险,债券 固收 低波动,0,0
93,长期 持有 价值,黄金 商品 抗通胀,1,0
94,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,1,1
95,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,-1,0
96,新能源 基金 长期 定投,新能源 基金 长期 定投,-1,1
97,医药 消费 产业轮动,黄金 商品 抗通胀,0,0
98,长期 持有 价值,长期 持有 价值,0,0
99,黄金 商品 抗通胀,医药 消费 产业轮动,1,0
100,长期 持有 价值,黄金 商品 抗通胀,-1,0
101,债券 固收 低波动,债券 固收 低波动,0,0
102,医药 消费 产业轮动,长期 持有 价值,0,1
103,新能源 基金 长期 定投,债券 固收 低波动,0,1
104,短线 交易 高频,长期 持有 价值,0,1
105,黄金 商品 抗通胀,债券 固收 低波动,1,1
106,黄金 商品 抗通胀,长期 持有 价值,0,0
107,长期 持有 价值,黄金 商品 抗通胀,0,0
108,长期 持有 价值,海外 ETF 汇率 风险,1,0
109,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,0,-1
110,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,0,1
111,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,1,0
112,短线 交易 高频,黄金 商品 抗通胀,0,-1
113,医药 消费 产业轮动,短线 交易 高频,-1,0
114,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,0,0
115,长期 持有 价值,价值 投资 蓝筹 稳健 分红,0,0
116,短线 交易 高频,黄金 商品 抗通胀,1,-1
117,短线 交易 高频,海外 ETF 汇率 风险,0,0
118,短线 交易 高频,海外 ETF 汇率 风险,0,0
119,债券 固收 低波动,医药 消费 产业轮动,1,0
120,新能源 基金 长期 定投,医药 消费 产业轮动,1,0
121,黄金 商品 抗通胀,医药 消费 产业轮动,0,0
122,债券 固收 低波动,短线 交易 高频,0,0
123,债券 固收 低波动,长期 持有 价值,0,1
124,医药 消费 产业轮动,黄金 商品 抗通胀,0,-1
125,短线 交易 高频,AI 半导体 成长 风险承受高,-1,1
126,新能源 基金 长期 定投,债券 固收 低波动,0,0
127,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,-1,0
128,长期 持有 价值,新能源 基金 长期 定投,0,0
129,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,1
130,医药 消费 产业轮动,医药 消费 产业轮动,0,0
131,债券 固收 低波动,医药 消费 产业轮动,1,0
132,短线 交易 高频,海外 ETF 汇率 风险,0,1
133,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,1
134,长期 持有 价值,AI 半导体 成长 风险承受高,0,-1
135,短线 交易 高频,黄金 商品 抗通胀,0,0
136,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,0
137,短线 交易 高频,价值 投资 蓝筹 稳健 分红,-1,0
138,新能源 基金 长期 定投,短线 交易 高频,1,0
139,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,1,1
140,短线 交易 高频,债券 固收 低波动,1,-1
141,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,1,0
142,价值 投资 蓝筹 稳健 分红,价值 投资 蓝筹 稳健 分红,1,1
143,长期 持有 价值,新能源 基金 长期 定投,1,-1
144,医药 消费 产业轮动,长期 持有 价值,0,1
145,长期 持有 价值,债券 固收 低波动,1,-1
146,AI 半导体 成长 风险承受高,短线 交易 高频,1,0
147,医药 消费 产业轮动,医药 消费 产业轮动,1,1
148,医药 消费 产业轮动,AI 半导体 成长 风险承受高,0,1
149,海外 ETF 汇率 风险,债券 固收 低波动,-1,1
150,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,0,-1
151,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,-1,-1
152,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,0,1
